L, 37, 38,  3,1
L, 38, 39,  4,0
L, 38, 41,  9,1
L, 38, 55,  5,0
L, 39, 41,992,0
L, 41, 42,  8,0
L, 41, 44,  9,1
L, 41,387,992,0
L, 44, 45, 11,1
L, 44, 47, 12,0
L, 44, 48, 13,0
L, 44, 61, 14,0
L, 44,369,991,0
L, 45, 46, 11,1
L, 45, 49, 16,0
L, 46, 47, 11,1
L, 47, 48, 18,1
L, 47, 50, 19,0
L, 48, 50, 20,1
L, 50, 51, 21,0
L, 50, 62, 23,1
L, 51, 52, 24,1
L, 51, 63, 25,0
L, 51,380, 26,1
L, 52, 63, 28,1
L, 52,118, 29,0
L, 52,388, 27,0
L, 53, 54, 30,0
L, 53,388,503,0
L, 53, 66, 31,0
L, 55, 56, 32,0
L, 56, 57, 34,0
L, 56,369, 35,0
L, 57, 58, 36,0
L, 58, 60, 36,0
L, 58,101, 38,0
L, 59, 66, 39,0
L, 60, 61, 40,1
L, 60, 64, 41,1
L, 61, 62, 42,1
L, 62, 65, 43,0
L, 63, 65, 44,1
L, 63, 66, 45,0
L, 64, 65, 46,0
L, 64,113, 47,1
L, 65, 67, 48,1
L, 66, 67, 49,0
L, 66, 71, 50,0
L, 66, 72, 51,1
L, 66,389, 52,1
L, 67, 68, 53,1
L, 68, 69, 54,0
L, 68, 70, 53,1
L, 70, 72, 56,0
L, 70,113, 57,1
L, 71, 72, 58,1
L, 71, 73, 59,1
L, 72, 74, 60,0
L, 73, 74, 61,1
L, 73, 78, 62,0
L, 74, 75, 63,0
L, 74,115, 64,1
L, 75, 76, 65,1
L, 75, 79, 66,1
L, 76, 77, 67,0
L, 76, 78, 65,1
L, 78,119, 69,1
L, 79, 80, 66,1
L, 80, 81, 66,1
L, 81, 82, 72,0
L, 81, 83, 66,1
L, 83, 84, 74,0
L, 83, 85, 66,1
L, 85, 86, 76,0
L, 85, 90, 77,1
L, 85,119, 78,0
L, 86, 87, 79,1
L, 86,139, 80,0
L, 86,140, 81,1
L, 86,159, 82,0
L, 87, 88, 83,1
L, 87, 89, 84,0
L, 88, 89, 85,0
L, 88,159, 86,1
L, 89, 90, 87,0
L, 89, 92, 88,1
L, 89, 98, 89,1
L, 89,307, 90,0
L, 90, 91, 91,1
L, 91, 92, 91,1
L, 91,376, 93,0
L, 92, 93, 94,0
L, 92,378, 95,0
L, 93, 94, 96,0
L, 93, 97,993,0
L, 94, 95, 96,0
L, 95, 96, 98,0
L, 95,115, 99,0
L, 96, 97,100,1
L, 96,108,101,1
L, 97,106,994,1
L, 97,390,102,1
L, 98,100,103,1
L, 99,100,104,0
L,100,103,105,1
L,100,193,106,0
L,102,103,107,1
L,102,196,108,1
L,103,390,506,0
L,105,106,111,0
L,105,201,995,1
L,106,107,113,0
L,107,108,114,1
L,107,112,115,1
L,108,109,116,0
L,109,110,117,1
L,109,111,118,1
L,110,111,119,0
L,110,116,120,1
L,111,112,121,0
L,111,117,122,1
L,112,117,123,1
L,112,377,124,0
L,113,114,125,0
L,114,116,126,0
L,114,117,127,0
L,115,116,128,1
L,116,117,129,0
L,118,362,504,1
L,118,380, 26,1
L,119,120,132,1
L,120,125,133,0
L,120,138,134,1
L,121,122,135,0
L,122,123,139,1
L,122,126,139,1
L,123,124,138,0
L,123,125,139,1
L,125,127,140,1
L,125,128,141,0
L,126,127,142,0
L,126,133,143,1
L,127,129,144,1
L,129,130,145,0
L,129,136,146,1
L,130,131,151,1
L,130,133,148,0
L,130,135,149,1
L,131,132,150,0
L,131,134,151,1
L,133,134,151,1
L,135,136,153,0
L,135,137,154,1
L,136,137,155,0
L,136,138,156,0
L,136,145,157,1
L,137,148,158,1
L,138,139,159,1
L,138,143,160,0
L,139,140,161,0
L,139,141,162,1
L,140,141,163,0
L,140,156,164,1
L,141,142,165,0
L,141,150,167,1
L,142,143,168,1
L,142,150,169,1
L,143,144,170,1
L,144,146,171,1
L,145,146,172,1
L,145,148,173,0
L,146,147,174,0
L,146,149,175,0
L,147,148,176,1
L,147,149,177,1
L,148,153,178,0
L,149,151,179,1
L,150,152,180,0
L,151,152,181,1
L,151,153,182,0
L,152,156,183,1
L,153,154,184,1
L,153,165,185,0
L,153,401,186,1
L,154,155,187,1
L,154,166,188,0
L,155,169,206,0
L,155,401,189,1
L,156,157,191,0
L,156,158,192,0
L,157,158,193,1
L,157,401,502,1
L,158,160,194,1
L,158,163,195,0
L,159,160,196,1
L,160,161,197,0
L,160,162,198,0
L,160,163,199,0
L,163,164,200,1
L,163,192,201,1
L,164,165,202,1
L,164,177,203,0
L,165,173,204,0
L,165,179,205,1
L,166,167,206,0
L,166,173,207,1
L,166,401,501,1
L,167,168,206,0
L,167,172,209,0
L,168,169,206,0
L,168,171,211,0
L,169,170,212,0
L,173,174,213,1
L,174,175,214,0
L,175,176,216,0
L,175,177,217,1
L,177,178,218,1
L,178,179,219,0
L,179,180,221,1
L,180,181,222,0
L,189,190,234,0
L,190,191,235,0
L,190,199,234,0
L,192,193,237,0
L,193,194,238,0
L,194,195,239,1
L,194,197,240,1
L,195,197,241,0
L,196,197,242,0
L,201,390,507,0
L,362,379,410,0
L,362,389,504,1
L,369,387,992,0
L,388,389,505,0
l, 50,436,189, 22,0
l, 51,436,189, 22,0
l, 55,336,118, 33,0
l, 57,336,118, 33,0
l,174,472,472,215,1
l,175,472,472,215,1
l,141,467,437,166,0
l,143,467,437,166,0
l, 37,362, 40,  1,1
